Q_INCA,p_druck_bereinigt_1,p_druck_bereinigt_2,p_druck_bereinigt_3,p_druck_bereinigt_4,p_druck_bereinigt_5,p_druck_bereinigt_6,p_druck_bereinigt_7,p_druck_bereinigt_8,p_druck_bereinigt_9,p_druck_bereinigt_10,p_druck_bereinigt_11,p_druck_bereinigt_12,p_druck_bereinigt_13,p_druck_bereinigt_14,p_druck_bereinigt_15,p_druck_bereinigt_16,p_druck_bereinigt_17,p_druck_bereinigt_18,p_druck_bereinigt_19,p_druck_bereinigt_20,nEng
142.54,-18093.0,-17718.0,-17817.0,-17824.0,-17766.0,-17705.0,-12344.0,-5789.1,-2498.6,0.0,-6394.9,-26287.0,-32920.0,-33527.0,-34732.0,-33537.0,-29706.0,-24239.0,-20084.0,-18466.0,900.0
83.064,-12726.0,-13113.0,-12118.0,-13033.0,-12336.0,-12536.0,-12495.0,-7817.3,-5631.6,0.0,-2940.6,-15633.0,-19063.0,-22813.0,-23576.0,-21674.0,-24215.0,-19325.0,-17146.0,-14118.0,1413.5
94.8915247521131,-14893.0,-13474.875,-14007.375,-13635.375,-13448.625,-13722.5,-13248.625,-8227.125,-5126.375,-471.125,0.0,-4886.625,-18216.5,-22656.875,-24878.875,-26369.375,-24238.875,-22665.25,-18209.875,-14790.75,1440.3125
18.7049788544968,-4029.3125,-3922.0,-2191.375,-4608.8125,-3324.5625,-3412.125,-3143.75,-3823.375,-3529.875,0.0,-2008.4375,-2920.5625,-3882.9375,-5164.8125,-5418.6875,-4604.9375,-5477.875,-5202.3125,-4748.875,-3676.9375,1807.0
175.064064998343,-22683.5,-21422.5,-22099.75,-21602.375,-21720.375,-21620.625,-15813.375,-10437.875,-2983.25,0.0,-9401.0,-30395.75,-40898.375,-45443.625,-46147.75,-45578.125,-40600.5,-33314.875,-26624.375,-23548.625,1400.02
154.157709372522,-19932.125,-18876.0,-19057.25,-18351.375,-18712.25,-18406.25,-17296.5,-10093.875,-8116.125,-3100.875,-706.125,0.0,-6768.625,-20948.875,-31934.75,-35252.875,-36756.25,-30034.25,-25193.25,-21052.625,1760.1521739130399
135.73,-17726.0,-17989.0,-17843.0,-17684.0,-18084.0,-17454.0,-14894.0,-9205.4,-3245.0,-1372.3,0.0,-16074.0,-31488.0,-37419.0,-37035.0,-38943.0,-33151.0,-27825.0,-20908.0,-19288.0,1106.9
129.646902865945,-16743.625,-17518.125,-18331.625,-16038.5,-16891.5,-17640.25,-16022.0,-11141.75,-7558.75,-3852.125,0.0,-2420.0,-14579.125,-26735.875,-30822.75,-34796.0,-35543.875,-27730.625,-24414.375,-21455.0,1820.4375
114.67,-14670.0,-14190.0,-14356.0,-14393.0,-14215.0,-14367.0,-11436.0,-5702.6,-1083.9,0.0,-17831.0,-25985.0,-28707.0,-28674.0,-27999.0,-28930.0,-26081.0,-21595.0,-16824.0,-14849.0,946.72
187.633001685943,-22941.125,-21200.5,-23028.5,-21288.25,-22400.0,-21664.125,-14114.75,-9776.375,-2271.25,-640.0,0.0,-9482.25,-29410.875,-37881.25,-43069.375,-42828.625,-35944.75,-33534.625,-25397.25,-23954.875,1360.08333333333
69.078,-9966.9,-9961.1,-10221.0,-9227.6,-9252.0,-9747.1,-8968.5,-9073.4,-3952.4,-3044.5,0.0,-3270.8,-15740.0,-17659.0,-20051.0,-22566.0,-21549.0,-19576.0,-16551.0,-13015.0,1840.5
86.2622535464506,-9232.625,-9135.625,-9515.375,-8932.75,-9303.0,-9189.375,-8853.125,-5609.75,-1353.125,0.0,-3415.5,-16453.5,-20053.125,-19683.625,-21102.0,-19845.5,-19809.5,-15642.625,-10919.375,-10324.75,913.5
210.71836713055697,-26327.375,-25261.25,-25609.375,-25292.5,-25079.25,-24232.25,-16196.625,-10683.0,-3341.125,-452.875,0.0,-836.375,-17862.625,-36257.375,-44979.75,-49060.5,-41456.0,-37093.125,-30557.375,-27405.25,1520.22916666667
78.233,-12418.0,-12266.0,-12394.0,-12591.0,-12512.0,-12454.0,-10817.0,-5479.4,-1560.4,0.0,-12584.0,-21380.0,-22014.0,-21935.0,-22112.0,-22251.0,-21831.0,-17770.0,-13897.0,-12607.0,706.63
34.3821339477283,-3223.5,-3610.625,-3049.75,-3244.0,-3151.75,-3248.75,-3298.375,-2907.375,-1094.75,-7.5,0.0,-6803.625,-7316.375,-8958.25,-7539.125,-8905.0,-8012.0,-8270.625,-5106.625,-3977.625,1113.5
47.036,-7969.0,-7879.5,-8009.5,-7977.5,-7772.5,-7835.3,-7801.4,-5644.5,-1760.8,0.0,-10394.0,-14357.0,-14462.0,-15107.0,-15261.0,-14922.0,-14668.0,-13138.0,-9875.4,-8441.5,813.5
180.144191655246,-22016.938,-21763.375,-21897.688,-21995.375,-21848.938,-18708.563000000002,-11944.375,-5804.9375,-1630.0625,0.0,-14698.063,-36887.187999999995,-41833.5,-41953.687999999995,-41771.625,-40051.5,-34049.312999999995,-27532.563,-23609.688,-22407.813,773.5
186.19,-24641.0,-24525.0,-24006.0,-23855.0,-24110.0,-23661.0,-18746.0,-12499.0,-6064.6,-1228.1,0.0,-2466.5,-15305.0,-34310.0,-41672.0,-46758.0,-42900.0,-35667.0,-31260.0,-27220.0,1700.1
195.63,-20676.0,-21980.0,-20571.0,-21345.0,-20771.0,-20169.0,-13473.0,-8415.9,-2555.4,0.0,-265.88,-15836.0,-34602.0,-41903.0,-45012.0,-42509.0,-36783.0,-29718.0,-24435.0,-22772.0,1240.1
30.559,-5568.5,-3359.0,-5419.3,-3762.8,-3887.1,-4574.3,-3368.1,-4440.6,-3163.5,0.0,-2242.3,-6492.0,-9912.6,-10221.0,-10946.0,-10922.0,-10285.0,-11358.0,-8307.6,-6302.6,1660.3
195.31001414477902,-29288.25,-27716.875,-27849.875,-28106.0,-27447.625,-27737.0,-21612.75,-14438.625,-7468.5,-1841.5,-243.125,0.0,-6637.125,-28480.875,-43620.875,-50377.75,-48628.375,-42133.75,-34986.375,-31582.875,1773.52083333333
162.37,-26383.0,-26148.0,-25882.0,-26121.0,-26049.0,-24311.0,-15970.0,-7486.0,-2041.0,0.0,-23180.0,-46097.0,-49913.0,-51230.0,-51074.0,-49481.0,-42107.0,-33855.0,-28497.0,-26498.0,820.0
79.42812091933841,-11455.75,-11891.5,-11315.5,-11722.375,-11200.75,-11628.125,-11136.5,-6725.75,-2578.875,0.0,-12747.5,-19856.375,-22923.0,-21786.125,-23554.0,-22563.0,-23185.5,-18702.75,-14967.75,-12525.125,1106.85416666667
214.61971515485803,-22512.0,-22519.938,-22369.0,-22506.125,-22375.313,-18634.063000000002,-12685.813,-5510.9375,-1937.6875,0.0,-8892.125,-34379.562999999995,-45715.25,-48007.125,-47722.875,-42979.687999999995,-35759.937999999995,-28717.188,-24760.438,-23111.688,933.5
212.22,-28586.0,-28094.0,-26933.0,-26116.0,-27010.0,-26679.0,-20628.0,-13942.0,-10036.0,-2123.1,0.0,-2521.1,-15924.0,-32329.0,-46133.0,-51756.0,-48979.0,-41631.0,-36258.0,-29647.0,1980.4
28.242,-5585.6,-4240.6,-3859.3,-5486.0,-3637.9,-4778.8,-4276.3,-5069.5,-3111.9,0.0,-779.75,-1612.4,-6241.1,-7825.0,-7210.4,-7698.0,-9098.1,-6828.3,-7751.6,-5292.4,1920.5
